prenom,nom,lien,id_club
Cody,Gakpo,https://www.transfermarkt.fr/cody-gakpo/profil/spieler/434675,3
Rio,Ngumoha,https://www.transfermarkt.fr/rio-ngumoha/profil/spieler/1108466,3
Mohamed,Salah,https://www.transfermarkt.fr/mohamed-salah/profil/spieler/148455,3
Federico,Chiesa,https://www.transfermarkt.fr/federico-chiesa/profil/spieler/341092,3
Alexander,Isak,https://www.transfermarkt.fr/alexander-isak/profil/spieler/349066,3
Hugo,Ekitiké,https://www.transfermarkt.fr/hugo-ekitike/profil/spieler/709726,3
Robert,Sánchez,https://www.transfermarkt.fr/robert-sanchez/profil/spieler/403151,4
Filip,Jørgensen,https://www.transfermarkt.fr/filip-jorgensen/profil/spieler/585323,4
Gabriel,Slonina,https://www.transfermarkt.fr/gabriel-slonina/profil/spieler/656316,4
Levi,Colwill,https://www.transfermarkt.fr/levi-colwill/profil/spieler/614258,4
Trevoh,Chalobah,https://www.transfermarkt.fr/trevoh-chalobah/profil/spieler/346314,4
Wesley,Fofana,https://www.transfermarkt.fr/wesley-fofana/profil/spieler/475411,4
Tosin,Adarabioyo,https://www.transfermarkt.fr/tosin-adarabioyo/profil/spieler/258878,4
Benoît,Badiashile,https://www.transfermarkt.fr/benoit-badiashile/profil/spieler/463603,4
Axel,Disasi,https://www.transfermarkt.fr/axel-disasi/profil/spieler/386047,4
Josh,Acheampong,https://www.transfermarkt.fr/josh-acheampong/profil/spieler/1004708,4
Marc,Cucurella,https://www.transfermarkt.fr/marc-cucurella/profil/spieler/284857,4
Jorrel,Hato,https://www.transfermarkt.fr/jorrel-hato/profil/spieler/904802,4
Reece,James,https://www.transfermarkt.fr/reece-james/profil/spieler/472423,4
Malo,Gusto,https://www.transfermarkt.fr/malo-gusto/profil/spieler/620322,4
Moisés,Caicedo,https://www.transfermarkt.fr/moises-caicedo/profil/spieler/687626,4
Roméo,Lavia,https://www.transfermarkt.fr/romeo-lavia/profil/spieler/628451,4
Dário,Essugo,https://www.transfermarkt.fr/dario-essugo/profil/spieler/670717,4
Enzo,Fernández,https://www.transfermarkt.fr/enzo-fernandez/profil/spieler/648195,4
Andrey,Santos,https://www.transfermarkt.fr/andrey-santos/profil/spieler/743600,4
Cole,Palmer,https://www.transfermarkt.fr/cole-palmer/profil/spieler/568177,4
Facundo,Buonanotte,https://www.transfermarkt.fr/facundo-buonanotte/profil/spieler/983989,4
Jamie,Gittens,https://www.transfermarkt.fr/jamie-gittens/profil/spieler/670882,4
Alejandro,Garnacho,https://www.transfermarkt.fr/alejandro-garnacho/profil/spieler/811779,4
Tyrique,George,https://www.transfermarkt.fr/tyrique-george/profil/spieler/936874,4
Mykhaylo,Mudryk,https://www.transfermarkt.fr/mykhaylo-mudryk/profil/spieler/537860,4
